Brand,Model,Fuel_Type,Transmission,Body_Type,Color,Price_INR,Engine_Size,Horsepower,Top_Speed,Customisable_Interiors,Mileage_kmpl,Units_Sold,Profitability
Toyota,TOY290,Diesel,Automatic,Coupe,Grey,3008000.0,3.4,207,221,No,13.2,441,1
Tata,TAT975,Diesel,Manual,SUV,Green,1693000.0,1.0,118,169,Yes,13.7,651,1
Tata,TAT977,Petrol,Manual,SUV,Blue,838000.0,1.2,78,151,No,15.5,622,1
Ford,FOR565,Hybrid,Manual,SUV,Green,1738000.0,1.9,148,176,Yes,27.9,121,1
Mahindra,MAH557,Hybrid,Manual,Coupe,White,2106000.0,2.4,184,183,No,26.1,209,1
Maruti Suzuki,MAR530,Diesel,Manual,Pickup,Silver,767000.0,1.7,86,127,Yes,16.0,742,1
Mercedes,MER394,Petrol,Automatic,SUV,White,6514000.0,4.7,249,226,No,14.5,616,1
Kia,KIA254,Diesel,Manual,Sedan,Red,2349000.0,3.4,214,215,Yes,19.2,529,1
Honda,HON179,Diesel,Manual,Hatchback,White,3393000.0,3.3,104,155,No,12.4,298,1
Toyota,TOY250,Petrol,Manual,SUV,Silver,2414000.0,3.1,147,162,Yes,16.3,162,1
Hyundai,HYU242,Hybrid,Manual,Hatchback,Grey,1873000.0,3.0,101,218,No,27.7,637,1
Ford,FOR906,Petrol,Manual,Pickup,White,3675000.0,3.0,101,168,Yes,12.9,483,1
Hyundai,HYU695,Petrol,Manual,SUV,Silver,4090000.0,2.6,142,145,Yes,14.5,726,1
Honda,HON902,Hybrid,Automatic,SUV,Silver,3711000.0,3.2,165,149,Yes,27.1,315,1
Audi,AUD265,Hybrid,Manual,Sedan,Red,15861000.0,3.7,388,214,Yes,25.2,190,0
Honda,HON187,Petrol,Manual,SUV,Grey,1615000.0,1.3,191,165,Yes,16.1,440,1
Honda,HON584,Petrol,Automatic,Pickup,Red,3913000.0,1.8,155,200,No,13.8,418,1
BMW,BMW536,Petrol,Manual,Pickup,White,9112000.0,4.8,398,224,No,19.0,185,1
Ford,FOR439,Hybrid,Manual,Sedan,Green,3865000.0,1.6,232,183,No,28.1,303,1
Ford,FOR617,Diesel,Automatic,Pickup,Silver,1635000.0,1.7,158,205,No,18.9,450,1
Hyundai,HYU529,Petrol,Manual,Hatchback,Green,1455000.0,2.4,156,157,No,13.0,617,1
Kia,KIA397,Petrol,Manual,Hatchback,Blue,2542000.0,2.4,202,169,Yes,19.8,325,1
Tata,TAT176,Petrol,Automatic,Hatchback,Green,2098000.0,1.3,89,138,Yes,14.3,515,1
Mahindra,MAH890,Petrol,Automatic,Pickup,Red,2528000.0,1.3,134,212,Yes,13.9,235,1
Maruti Suzuki,MAR793,Diesel,Manual,Pickup,Red,860000.0,1.5,119,134,No,17.4,483,1
Toyota,TOY548,Petrol,Manual,Sedan,White,3632000.0,2.0,191,190,No,16.3,515,1
BMW,BMW785,Petrol,Manual,Pickup,Silver,7178000.0,4.5,266,193,Yes,12.3,505,1
Maruti Suzuki,MAR112,Hybrid,Manual,Pickup,Blue,605000.0,1.5,73,158,Yes,21.7,731,1
Tata,TAT457,Petrol,Automatic,SUV,Blue,1754000.0,1.4,116,128,Yes,14.7,446,1
Ford,FOR742,Diesel,Automatic,Pickup,Blue,3798000.0,3.1,178,182,Yes,13.9,433,1
Tata,TAT216,Electric,Manual,Pickup,Grey,808000.0,1.9,114,157,No,30.1,694,1
Mercedes,MER872,Petrol,Manual,Pickup,White,19001000.0,4.7,390,224,Yes,12.7,69,0
Ford,FOR937,Petrol,Manual,Pickup,White,2186000.0,3.3,187,140,Yes,12.8,376,1
Honda,HON569,Diesel,Automatic,Coupe,White,3537000.0,2.7,125,229,No,13.9,267,1
Hyundai,HYU455,Diesel,Manual,SUV,Red,2660000.0,2.9,193,207,No,17.3,419,1
BMW,BMW359,Diesel,Automatic,Pickup,Blue,8894000.0,2.8,245,248,No,15.1,271,1
Toyota,TOY456,Petrol,Manual,Sedan,Red,4573000.0,2.7,217,180,No,16.6,189,1
Mercedes,MER632,Petrol,Automatic,SUV,Black,11809000.0,2.8,186,225,No,13.4,194,1
Maruti Suzuki,MAR525,Petrol,Manual,Hatchback,White,2335000.0,2.0,114,142,Yes,12.1,581,1
Toyota,TOY524,Diesel,Automatic,SUV,Black,5209000.0,3.4,226,163,Yes,15.1,511,1
Tata,TAT561,Petrol,Automatic,Sedan,Red,1871000.0,1.3,70,153,No,19.5,594,1
Toyota,TOY539,Petrol,Automatic,SUV,Grey,1946000.0,2.6,248,151,No,16.1,664,1
Audi,AUD353,Petrol,Manual,Sedan,White,17741000.0,4.2,368,229,Yes,14.9,385,1
Mercedes,MER185,Petrol,Automatic,Pickup,Silver,18158000.0,4.6,426,215,Yes,16.0,109,0
BMW,BMW144,Petrol,Automatic,Pickup,White,16346000.0,3.9,369,235,No,19.1,77,0
Toyota,TOY114,Hybrid,Manual,Hatchback,Green,1622000.0,2.5,95,177,No,25.4,174,1
Toyota,TOY808,Diesel,Manual,Pickup,White,2198000.0,2.6,94,142,No,18.6,266,1
Honda,HON443,Diesel,Manual,Pickup,Black,3119000.0,3.0,124,189,Yes,12.7,399,1
Ford,FOR419,Hybrid,Automatic,Coupe,Blue,1627000.0,2.4,176,224,Yes,27.3,352,1
Hyundai,HYU916,Diesel,Manual,Coupe,Green,2517000.0,3.0,133,210,No,12.6,616,1
BMW,BMW714,Petrol,Automatic,Hatchback,Black,7329000.0,4.9,405,228,Yes,15.3,199,1
Mercedes,MER201,Petrol,Automatic,Pickup,Silver,9243000.0,3.6,372,226,No,14.2,152,1
Maruti Suzuki,MAR639,Petrol,Manual,Sedan,Grey,2213000.0,1.7,93,156,No,15.4,490,1
Tata,TAT272,Diesel,Manual,Pickup,Black,1643000.0,1.0,66,122,No,12.3,308,1
Maruti Suzuki,MAR241,Petrol,Automatic,Pickup,Grey,2033000.0,1.7,88,125,No,15.9,405,1
Ford,FOR525,Petrol,Manual,Sedan,Blue,2761000.0,2.1,188,190,Yes,12.4,334,1
Mercedes,MER772,Petrol,Manual,Pickup,Blue,10539000.0,3.9,315,239,No,17.3,169,1
Mercedes,MER125,Diesel,Manual,Coupe,Green,14278000.0,4.8,335,246,Yes,17.1,209,1
Mercedes,MER323,Petrol,Manual,Hatchback,Blue,12400000.0,3.6,434,207,No,19.7,127,0
Mahindra,MAH751,Petrol,Manual,Pickup,Red,2424000.0,3.1,93,205,Yes,14.3,331,1
Tata,TAT527,Petrol,Manual,SUV,Grey,813000.0,1.7,97,172,No,17.9,405,1
Kia,KIA925,Petrol,Manual,Coupe,Green,2223000.0,2.9,219,249,No,15.3,481,1
Maruti Suzuki,MAR283,Diesel,Manual,SUV,Black,1230000.0,1.8,80,175,No,18.9,832,1
Maruti Suzuki,MAR361,Hybrid,Manual,SUV,Red,1781000.0,1.1,114,150,Yes,28.3,534,1
Mahindra,MAH290,Petrol,Manual,SUV,Black,2640000.0,3.3,152,140,No,19.2,259,1
Maruti Suzuki,MAR269,Diesel,Manual,Pickup,White,2295000.0,2.0,94,157,Yes,15.6,508,1
BMW,BMW970,Petrol,Manual,Coupe,Blue,9209000.0,3.0,361,290,Yes,18.3,145,1
Kia,KIA787,Diesel,Manual,Pickup,White,3302000.0,2.2,232,168,No,12.9,348,1
Mahindra,MAH229,Petrol,Automatic,SUV,White,2061000.0,3.0,188,148,Yes,12.7,235,1
BMW,BMW929,Petrol,Automatic,Pickup,White,14686000.0,4.1,201,185,No,19.9,280,1
Mahindra,MAH394,Hybrid,Manual,Hatchback,Green,2671000.0,2.1,220,215,No,29.9,200,1
Maruti Suzuki,MAR952,Diesel,Automatic,Pickup,Blue,760000.0,1.8,93,145,Yes,19.3,804,1
BMW,BMW631,Hybrid,Automatic,Sedan,Red,6314000.0,3.5,183,212,No,20.6,440,1
Mercedes,MER551,Diesel,Manual,SUV,Silver,13770000.0,4.9,281,199,No,18.9,315,1
Mahindra,MAH647,Diesel,Manual,Hatchback,Red,2197000.0,3.4,91,217,No,12.3,310,1
Mercedes,MER791,Petrol,Manual,SUV,Silver,15661000.0,2.2,329,247,Yes,16.2,347,1
Mahindra,MAH949,Diesel,Manual,Pickup,Green,3523000.0,2.8,162,190,Yes,16.7,283,1
Kia,KIA535,Petrol,Automatic,Hatchback,Grey,2967000.0,1.8,120,177,Yes,14.8,496,1
Mahindra,MAH946,Hybrid,Automatic,Hatchback,Green,3172000.0,1.4,245,218,No,27.0,30,0
Maruti Suzuki,MAR338,Petrol,Manual,SUV,Black,1914000.0,1.7,69,174,Yes,18.6,654,1
Tata,TAT797,Petrol,Manual,SUV,Green,2213000.0,1.7,96,145,No,19.5,488,1
Mercedes,MER735,Petrol,Manual,Coupe,Grey,15989000.0,5.0,220,271,Yes,15.0,157,0
Honda,HON459,Petrol,Manual,Hatchback,Grey,5064000.0,3.1,224,177,No,15.3,433,1
Honda,HON906,Petrol,Manual,Hatchback,Red,4808000.0,3.1,249,219,No,16.4,441,1
Mercedes,MER940,Petrol,Manual,Coupe,Silver,17626000.0,4.8,409,229,No,15.6,30,0
Audi,AUD336,Diesel,Automatic,Sedan,Black,13662000.0,3.9,276,187,Yes,17.4,330,1
Mercedes,MER743,Petrol,Manual,SUV,Black,12754000.0,4.3,320,239,Yes,16.4,353,1
Honda,HON845,Diesel,Automatic,Sedan,Blue,2211000.0,1.5,94,200,Yes,17.0,474,1
Toyota,TOY315,Diesel,Manual,Coupe,White,3119000.0,1.7,111,181,No,14.8,140,1
Mercedes,MER392,Hybrid,Manual,SUV,Blue,11662000.0,4.7,274,215,No,27.8,416,1
BMW,BMW112,Petrol,Automatic,SUV,Grey,11673000.0,3.9,412,246,No,13.2,247,1
Mahindra,MAH302,Petrol,Manual,Pickup,Green,2419000.0,2.3,246,179,No,14.6,419,1
Ford,FOR769,Petrol,Automatic,Coupe,Blue,2935000.0,1.8,102,189,Yes,13.0,184,1
BMW,BMW292,Petrol,Manual,Coupe,Blue,10799000.0,4.7,307,280,No,13.4,323,1
Tata,TAT485,Diesel,Manual,Coupe,Silver,819000.0,1.0,70,136,Yes,13.4,284,1
Mercedes,MER513,Electric,Automatic,Coupe,Blue,10510000.0,3.5,366,204,No,37.0,171,1
Toyota,TOY680,Diesel,Manual,Pickup,Red,3246000.0,1.4,229,213,No,12.5,527,1
Mahindra,MAH432,Electric,Manual,Hatchback,Green,3245000.0,1.6,123,169,No,32.3,206,1
Honda,HON544,Hybrid,Manual,Hatchback,Red,3199000.0,2.0,164,199,No,20.4,577,1
Toyota,TOY500,Petrol,Automatic,Pickup,Grey,4249000.0,2.4,175,148,Yes,15.6,251,1
Mahindra,MAH310,Petrol,Automatic,Pickup,Black,2773000.0,1.8,133,170,No,12.2,140,1
Honda,HON111,Diesel,Manual,Coupe,White,2393000.0,1.5,232,221,No,17.4,351,1
Ford,FOR442,Diesel,Automatic,Pickup,Silver,3568000.0,2.3,103,182,Yes,16.7,283,1
Hyundai,HYU192,Diesel,Automatic,Coupe,Blue,1704000.0,1.9,148,225,Yes,16.6,787,1
Mahindra,MAH955,Petrol,Manual,Hatchback,Silver,2912000.0,3.5,186,158,No,12.8,231,1
Ford,FOR830,Petrol,Automatic,Hatchback,Grey,1706000.0,1.6,135,153,No,19.2,256,1
Mahindra,MAH627,Petrol,Automatic,Hatchback,Silver,1676000.0,2.4,155,218,No,12.9,358,1
Ford,FOR643,Petrol,Automatic,SUV,White,4275000.0,3.1,131,153,Yes,17.3,337,1
Mercedes,MER424,Diesel,Manual,Hatchback,Black,17210000.0,3.7,334,199,Yes,18.2,115,0
Ford,FOR780,Petrol,Manual,SUV,Green,2644000.0,2.4,128,149,Yes,16.9,199,1
Ford,FOR597,Hybrid,Automatic,Hatchback,Green,2230000.0,2.5,114,178,No,25.3,327,1
Audi,AUD872,Petrol,Automatic,Pickup,Grey,7404000.0,2.2,447,202,No,18.5,188,1
BMW,BMW601,Petrol,Manual,Pickup,Silver,9697000.0,4.0,385,221,Yes,15.8,30,0
Maruti Suzuki,MAR790,Petrol,Manual,Pickup,White,2267000.0,1.8,117,127,Yes,17.8,445,1
Tata,TAT993,Diesel,Automatic,Coupe,Grey,1956000.0,1.2,63,164,No,16.6,482,1
